seed,protocol,dataset,metric,value
7,test,internal_test,pearson,0.6061707735061646
7,test,internal_test,spearman,0.512201726436615
7,test,faris_data,R2,-1.7991607189178467
7,test,faris_data,MSE,1.9065892696380615
7,test,faris_data,MAE,1.1785850524902344
7,test,faris_data,pearson,0.4151481091976166
7,test,faris_data,spearman,0.41489431262016296
7,test,merz_data,R2,0.38636332750320435
7,test,merz_data,MSE,0.4569411277770996
7,test,merz_data,MAE,0.4628196954727173
7,test,merz_data,pearson,0.7579423189163208
7,test,merz_data,spearman,0.781514048576355
7,test,nielsen_data,R2,-0.64863121509552
7,test,nielsen_data,MSE,888.056884765625
7,test,nielsen_data,MAE,19.612308502197266
7,test,nielsen_data,pearson,0.5731275081634521
7,test,nielsen_data,spearman,0.6955292820930481
8,test,internal_test,R2,0.8005199432373047
8,test,internal_test,MSE,0.48186370730400085
8,test,internal_test,MAE,0.5039696097373962
8,test,internal_test,pearson,0.8988708257675171
8,test,internal_test,spearman,0.8325913548469543
8,test,faris_data,R2,-2.000385284423828
8,test,faris_data,MSE,2.0436487197875977
8,test,faris_data,MAE,1.2291628122329712
8,test,faris_data,pearson,0.42309778928756714
8,test,faris_data,spearman,0.4214358329772949
8,test,merz_data,R2,-0.8485404253005981
8,test,merz_data,MSE,1.376505732536316
8,test,merz_data,MAE,1.0850200653076172
8,test,merz_data,pearson,0.7576100826263428
8,test,merz_data,spearman,0.7890930771827698
8,test,nielsen_data,R2,-0.4062711000442505
8,test,nielsen_data,MSE,757.5062255859375
8,test,nielsen_data,MAE,24.989103317260742
8,test,nielsen_data,pearson,0.5878206491470337
8,test,nielsen_data,spearman,0.6947782635688782
9,test,internal_test,R2,0.4399149417877197
9,test,internal_test,MSE,1.1389400959014893
9,test,internal_test,MAE,0.769103467464447
9,test,internal_test,pearson,0.6920522451400757
9,test,internal_test,spearman,0.7059670090675354
9,test,faris_data,R2,-0.5247578620910645
9,test,faris_data,MSE,1.0385565757751465
9,test,faris_data,MAE,0.829910933971405
9,test,faris_data,pearson,0.42148980498313904
9,test,faris_data,spearman,0.4311540126800537
9,test,merz_data,R2,0.5507403612136841
9,test,merz_data,MSE,0.33453869819641113
9,test,merz_data,MAE,0.42715156078338623
9,test,merz_data,pearson,0.7605282068252563
9,test,merz_data,spearman,0.7948427200317383
9,test,nielsen_data,R2,-0.6836237907409668
9,test,nielsen_data,MSE,906.906005859375
9,test,nielsen_data,MAE,19.991621017456055
9,test,nielsen_data,pearson,0.5688722729682922
9,test,nielsen_data,spearman,0.6902639865875244
